bssid,gps_text
66:20:e3:1e:d6:9e,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
66:20:e3:97:7e:e6,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
64:20:e3:37:7e:e7,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
60:45:cb:94:33:8c,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
9c:63:5b:74:4a:a7,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
4e:d9:e7:f7:29:d0,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
0a:ec:da:8e:e4:0e,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
96:d2:bc:4c:fb:a4,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
20:08:89:8c:61:43,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
64:20:e3:96:b0:67,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
64:20:e1:a0:33:7f,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
7e:83:c2:38:30:ab,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
58:d3:12:b0:71:85,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
7e:8a:20:55:27:e9,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
66:20:e3:93:d3:0e,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
9e:63:5b:44:4a:a7,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
90:d0:92:fc:b4:60,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
f4:de:af:57:28:ec,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
02:ec:da:8e:e4:0e,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
aa:ba:70:0c:67:89,Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m
