collection_id,username,sample_id,captured_at,gps_text,wifi_count,bssid,ssid,rssi_dbm,frequency_mhz,channel,band,security,wifi_standard,address
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,cd8d7870-79fe-4b55-b19a-1794deac8b79,2026-04-03 01:22:02,"Lat: 13.680138428012278, Lng: 100.60966139300632, Accuracy: 4.7m",48,80:8d:b7:a4:a4:95,GT-ACC,-65,5500,100,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,cac7899e-a604-4da7-86a8-7d3710932c64,2026-04-03 01:19:32,"Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m",121,d8:a0:e8:47:b7:45,FITONE ADMIN,-92,5300,60,5 GHz,[WPA-PSK-TKIP+CCMP][K][V][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][K][V][ESS][WPS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,cac7899e-a604-4da7-86a8-7d3710932c64,2026-04-03 01:19:32,"Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m",121,06:ec:da:8e:e4:1c,<hidden>,-92,5200,40,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][PMFC][ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,cac7899e-a604-4da7-86a8-7d3710932c64,2026-04-03 01:19:32,"Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m",121,6c:9e:7c:f4:4b:c1,Ayrada_5G,-93,5300,60,5 GHz,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,cac7899e-a604-4da7-86a8-7d3710932c64,2026-04-03 01:19:32,"Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m",121,48:81:d4:0d:9c:97,NNP,-93,5240,48,5 GHz,[WPA-PSK-CCMP][K][V][WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,cac7899e-a604-4da7-86a8-7d3710932c64,2026-04-03 01:19:32,"Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m",121,22:08:89:fb:a2:6f,<hidden>,-93,5240,48,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,cac7899e-a604-4da7-86a8-7d3710932c64,2026-04-03 01:19:32,"Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m",121,98:00:6a:72:c2:8e,Victor_2.4G,-94,5805,161,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,cac7899e-a604-4da7-86a8-7d3710932c64,2026-04-03 01:19:32,"Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m",121,66:20:e3:9a:f1:be,Honey_AIS_5G,-94,5280,56,5 GHz,[WPA-PSK-CCMP][K][V][WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,cd8d7870-79fe-4b55-b19a-1794deac8b79,2026-04-03 01:22:02,"Lat: 13.680138428012278, Lng: 100.60966139300632, Accuracy: 4.7m",48,80:8d:b7:a4:a4:91,@BTSWIFI2,-63,5500,100,5 GHz,[WPA2-EAP-CCMP][RSN-EAP-CCMP][V][ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4d121375-6772-4588-9fcd-ac3062220edb,2026-04-03 01:20:02,"Lat: 13.681353869053783, Lng: 100.61025550930052, Accuracy: 4.7m",99,66:20:e1:1d:d0:be,TH01 Better_2.4G,-60,2437,6,2.4 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4d121375-6772-4588-9fcd-ac3062220edb,2026-04-03 01:20:02,"Lat: 13.681353869053783, Lng: 100.61025550930052, Accuracy: 4.7m",99,64:20:e1:6d:d0:bf,<hidden>,-63,5805,161,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4d121375-6772-4588-9fcd-ac3062220edb,2026-04-03 01:20:02,"Lat: 13.681353869053783, Lng: 100.61025550930052, Accuracy: 4.7m",99,3c:e3:6b:08:fe:fc,Imou-8K086D7PAZDC74F,-67,2447,8,2.4 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4d121375-6772-4588-9fcd-ac3062220edb,2026-04-03 01:20:02,"Lat: 13.681353869053783, Lng: 100.61025550930052, Accuracy: 4.7m",99,64:20:e1:65:ac:ee,<hidden>,-69,2437,6,2.4 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4d121375-6772-4588-9fcd-ac3062220edb,2026-04-03 01:20:02,"Lat: 13.681353869053783, Lng: 100.61025550930052, Accuracy: 4.7m",99,68:9e:29:5f:ed:34,AVALON_2.4G,-69,2427,4,2.4 GHz,[WPA-PSK-TKIP+CCMP][K][V][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][K][V][ESS][WPS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4d121375-6772-4588-9fcd-ac3062220edb,2026-04-03 01:20:02,"Lat: 13.681353869053783, Lng: 100.61025550930052, Accuracy: 4.7m",99,a0:a4:78:e8:5d:47,Nailgarden,-69,2462,11,2.4 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4d121375-6772-4588-9fcd-ac3062220edb,2026-04-03 01:20:02,"Lat: 13.681353869053783, Lng: 100.61025550930052, Accuracy: 4.7m",99,ea:81:75:47:a8:a5,<hidden>,-71,5300,60,5 GHz,[WPA-PSK-TKIP+CCMP][K][V][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][K][V][ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4d121375-6772-4588-9fcd-ac3062220edb,2026-04-03 01:20:02,"Lat: 13.681353869053783, Lng: 100.61025550930052, Accuracy: 4.7m",99,68:9e:29:5f:ed:35,AVALON_5G,-73,5520,104,5 GHz,[WPA-PSK-CCMP][K][V][WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4d121375-6772-4588-9fcd-ac3062220edb,2026-04-03 01:20:02,"Lat: 13.681353869053783, Lng: 100.61025550930052, Accuracy: 4.7m",99,6a:9e:29:4f:ed:35,<hidden>,-76,5520,104,5 GHz,[WPA-PSK-CCMP][K][V][WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4d121375-6772-4588-9fcd-ac3062220edb,2026-04-03 01:20:02,"Lat: 13.681353869053783, Lng: 100.61025550930052, Accuracy: 4.7m",99,36:cc:ca:f0:f4:1f,realme 15 5G x4ur,-76,2457,10,2.4 GHz,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][V][PMFC][ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4d121375-6772-4588-9fcd-ac3062220edb,2026-04-03 01:20:02,"Lat: 13.681353869053783, Lng: 100.61025550930052, Accuracy: 4.7m",99,94:b2:71:be:b0:9f,<hidden>,-76,5220,44,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,0e7c8f48-a0ef-4693-b4c1-b4403119a2cc,2026-04-03 01:20:21,"Lat: 13.681149239412873, Lng: 100.61019149802068, Accuracy: 4.7m",92,fa:8f:ca:94:70:48,"VCA Right.a,",-73,2437,6,2.4 GHz,[ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4d121375-6772-4588-9fcd-ac3062220edb,2026-04-03 01:20:02,"Lat: 13.681353869053783, Lng: 100.61025550930052, Accuracy: 4.7m",99,68:9e:29:e2:7b:f5,Sunflower_2.4G,-77,2422,3,2.4 GHz,[WPA-PSK-TKIP+CCMP][K][V][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][K][V][ESS][WPS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4d121375-6772-4588-9fcd-ac3062220edb,2026-04-03 01:20:02,"Lat: 13.681353869053783, Lng: 100.61025550930052, Accuracy: 4.7m",99,aa:ba:70:0d:3f:aa,<hidden>,-79,2462,11,2.4 GHz,[ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4d121375-6772-4588-9fcd-ac3062220edb,2026-04-03 01:20:02,"Lat: 13.681353869053783, Lng: 100.61025550930052, Accuracy: 4.7m",99,74:e9:bf:98:78:80,Kanom 2G,-79,2442,7,2.4 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4f300f66-fbd2-4ef5-bf06-2cbb4b4a113e,2026-04-03 01:20:40,"Lat: 13.680905139966903, Lng: 100.61010832580418, Accuracy: 4.7m",77,92:20:e0:6e:46:2d,<hidden>,-67,5745,149,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],,Soi Udom Suk 3 - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,865d6b58-f9de-4b14-8d90-f360df2ab946,2026-04-03 01:20:33,"Lat: 13.68100254164745, Lng: 100.61013341493586, Accuracy: 4.7m",92,64:20:e0:6e:46:29,moritaka foods_5G,-66,5745,149,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4d121375-6772-4588-9fcd-ac3062220edb,2026-04-03 01:20:02,"Lat: 13.681353869053783, Lng: 100.61025550930052, Accuracy: 4.7m",99,6a:9e:29:42:7b:f6,<hidden>,-81,5580,116,5 GHz,[WPA-PSK-CCMP][K][V][WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4d121375-6772-4588-9fcd-ac3062220edb,2026-04-03 01:20:02,"Lat: 13.681353869053783, Lng: 100.61025550930052, Accuracy: 4.7m",99,68:9e:29:e2:7b:f6,Sunflower_5G,-81,5580,116,5 GHz,[WPA-PSK-CCMP][K][V][WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4d121375-6772-4588-9fcd-ac3062220edb,2026-04-03 01:20:02,"Lat: 13.681353869053783, Lng: 100.61025550930052, Accuracy: 4.7m",99,90:fd:73:f9:16:ef,MMM_2.4G,-81,2412,1,2.4 GHz,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4d121375-6772-4588-9fcd-ac3062220edb,2026-04-03 01:20:02,"Lat: 13.681353869053783, Lng: 100.61025550930052, Accuracy: 4.7m",99,64:20:e3:44:2b:7f,<hidden>,-82,5220,44,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
